"id","question","option_a","option_b","option_c","option_d","correct_option","fun_fact"
244,"I’m the coldest planet in the solar system. Who am I?","Uranus","Neptune","Saturn","Pluto","Uranus","Uranus’s clouds are made of ice — perfect place for frozen desserts!"
245,"I’m a mountain made of glassy lava. Who am I?","Mount St. Helens","Mount Fuji","Mount Etna","Mount Doom","Mount St. Helens","Mount St. Helens erupted in 1980 and changed shape — talk about a glow-up!"
246,"I’m a hot bubbling hole in Yellowstone Park. Who am I?","Old Faithful","Grand Prismatic Spring","Hot Lava Pit","Boiling Lake","Grand Prismatic Spring","It’s the biggest hot spring in the USA — nature’s rainbow jacuzzi!"
247,"I’m a super bright star that guides travelers. Who am I?","North Star","Sirius","Polaris","Alpha Centauri","Polaris","The North Star stays in almost the same spot — it’s space’s GPS!"
248,"I’m a place where geysers erupt and bears roam. Who am I?","Yosemite","Yellowstone","Grand Canyon","Niagara","Yellowstone","Yellowstone was the first national park — Earth’s VIP zone!"
249,"I’m the windy gas giant with 27 moons. Who am I?","Jupiter","Saturn","Uranus","Neptune","Uranus","Uranus smells like rotten eggs — not a planet you’d picnic on!"
250,"I’m the city of sunshine and theme parks. Who am I?","Los Angeles","Orlando","Miami","Dallas","Orlando","Orlando has more than 100 lakes — and way too many rollercoasters!"
251,"I’m a place in Alaska where the sun doesn’t set for months. Who am I?","Barrow","Anchorage","Fairbanks","Nome","Barrow","In summer, Barrow has 80 days of sunlight — goodbye bedtime!"
252,"I’m the city where jazz was born. Who am I?","New York","New Orleans","Chicago","Memphis","New Orleans","New Orleans celebrates 130+ festivals a year — basically, non-stop party mode!"
253,"I’m the planet famous for my lovely morning and evening glow. Who am I?","Mercury","Venus","Mars","Neptune","Venus","Venus is called Earth’s twin — just way moodier and hotter!"
254,"I spin so fast that my day lasts only 10 hours! Who am I?","Earth","Jupiter","Mars","Venus","Jupiter","Jupiter spins faster than any other planet in our solar system!"
255,"I’m blue and full of life, spinning around the Sun. Who am I?","Neptune","Earth","Uranus","Mars","Earth","Earth is the only planet known to have life and liquid water!"
256,"I’m a red hot planet, but not because I’m shy! Who am I?","Venus","Mercury","Mars","Jupiter","Mars","Mars looks red because of iron oxide, just like rust on metal!"
257,"I wear shiny rings like jewelry! Who am I?","Neptune","Saturn","Jupiter","Uranus","Saturn","Saturn’s rings are made of ice and rock — nature’s cosmic bling!"
258,"I’m the hottest planet, even hotter than Mercury! Who am I?","Venus","Mars","Earth","Jupiter","Venus","Venus traps heat with thick clouds — it’s like a never-ending sauna!"
259,"I’m full of sand, heat, and cacti — sometimes snakes too! Who am I?","Desert","Jungle","Beach","Forest","Desert","Some deserts are actually cold, like Antarctica!"
260,"I shine at night but borrow light from the Sun. Who am I?","Star","Moon","Comet","Planet","Moon","The Moon doesn’t shine — it reflects sunlight like a giant mirror!"
261,"I’m so cold that even your freezer would freeze! Who am I?","Neptune","Uranus","Pluto","Mars","Uranus","Uranus is the coldest planet, with temperatures dropping to -224°C!"
262,"I’m a stormy red spot that’s been raging for 300 years! Who am I?","Mars","Saturn","Jupiter","Neptune","Jupiter","The Great Red Spot on Jupiter is a storm twice the size of Earth!"
263,"I’m full of green leaves and give you oxygen for free! Who am I?","Tree","River","Mountain","Rock","Tree","A single tree can provide oxygen for up to four people every day!"
264,"I’m the biggest ocean, so big that whales call me home! Who am I?","Indian Ocean","Pacific Ocean","Atlantic Ocean","Arctic Ocean","Pacific Ocean","The Pacific Ocean covers more area than all the continents combined!"
265,"I sparkle at night but burn out in a flash. Who am I?","Star","Comet","Meteor","Moon","Meteor","Meteors are space rocks burning up in our atmosphere — wish time!"
266,"I’m full of snow and reach the sky. Who am I?","Mountain","Desert","Volcano","Canyon","Mountain","Mount Everest is so tall that you’d need oxygen to breathe at the top!"
267,"I roar loudly and flash bright lights! Who am I?","Earthquake","Tornado","Thunderstorm","Hurricane","Thunderstorm","Lightning is hotter than the surface of the Sun!"
268,"I’m made of gas, huge in size, and have 14 moons! Who am I?","Neptune","Jupiter","Uranus","Saturn","Neptune","Neptune’s winds blow faster than 2,000 km/h — faster than any storm on Earth!"
269,"I’m home to the Statue of Liberty and lots of pizza! Who am I?","New York","Los Angeles","Chicago","Miami","New York","The Statue of Liberty was a gift from France to the USA in 1886!"
270,"I’m a deep crack in the ground so big you can see me from space! Who am I?","Grand Canyon","Death Valley","Niagara Falls","Mount Rushmore","Grand Canyon","The Grand Canyon is over 277 miles long and a mile deep!"
271,"I’m a big windy storm spinning in circles! Who am I?","Hurricane","Tornado","Cyclone","Thunderstorm","Hurricane","The word ‘hurricane’ comes from the Mayan god of wind, Huracán!"
272,"I’m full of colorful fish and corals underwater. Who am I?","Ocean","Coral Reef","River","Lagoon","Coral Reef","Coral reefs are made of living animals — not plants or rocks!"
273,"I’m a place where it’s freezing all year, and penguins love me! Who am I?","North Pole","Antarctica","Iceland","Alaska","Antarctica","Antarctica is the driest, coldest, and windiest place on Earth!"
274,"I’m a glowing band of light across the sky. Who am I?","Rainbow","Milky Way","Aurora","Meteor Shower","Milky Way","Our solar system is just a tiny part of the Milky Way galaxy!"
275,"I’m made of frozen gases and have a shiny tail! Who am I?","Meteor","Asteroid","Comet","Planet","Comet","Comets are like dirty snowballs flying through space!"
276,"I’m full of lava and smoke, and sometimes I explode! Who am I?","Mountain","Volcano","Hill","Cave","Volcano","Volcanoes can make new islands when they erupt underwater!"
277,"I’m green, quiet, and full of animals — but don’t get lost! Who am I?","Forest","Desert","Mountain","Valley","Forest","Forests cover about 31% of Earth’s land area!"
278,"I’m the largest country in the world by area! Who am I?","USA","China","Russia","Canada","Russia","Russia spans 11 time zones — you can have breakfast and dinner at the same time!"
279,"I’m the windiest planet in the solar system! Who am I?","Mars","Jupiter","Neptune","Uranus","Neptune","Winds on Neptune blow faster than the speed of sound!"
280,"I’m a golden bridge that smiles over San Francisco! Who am I?","Brooklyn Bridge","Golden Gate Bridge","London Bridge","Bay Bridge","Golden Gate Bridge","The bridge’s color is called ‘International Orange’ — fancy, right?"
281,"I’m tall, green, and wave a torch for freedom! Who am I?","Eiffel Tower","Statue of Liberty","Big Ben","Christ the Redeemer","Statue of Liberty","She’s made of copper, but turned green because of oxidation!"
282,"I’m small but powerful — I keep satellites in my orbit! Who am I?","Earth","Moon","Mars","Venus","Earth","Earth’s gravity even affects the Moon’s movement!"
283,"I’m bright and the center of attention. Who am I?","Venus","Sun","Jupiter","Star","Sun","The Sun is so big that 1.3 million Earths could fit inside it!"
284,"I’m a flat area of grass where cows and sheep chill! Who am I?","Forest","Farm","Meadow","Valley","Meadow","Meadows help bees and butterflies find food easily!"
285,"I’m a spinning storm shaped like an ice cream swirl! Who am I?","Tornado","Hurricane","Cyclone","Whirlpool","Tornado","Tornadoes can spin at speeds over 300 mph!"
286,"I’m full of salty water, waves, and surfers! Who am I?","River","Ocean","Lake","Pond","Ocean","Over 70% of Earth’s surface is covered by oceans!"
287,"I’m a big ice rock once called the ninth planet! Who am I?","Neptune","Pluto","Uranus","Eris","Pluto","Pluto was demoted to ‘dwarf planet’ in 2006!"
288,"I’m so hot, metal would melt on me! Who am I?","Mars","Venus","Mercury","Jupiter","Mercury","Even though Mercury is closest to the Sun, it has no atmosphere to trap heat!"
289,"I’m covered in clouds and have acid rain showers! Who am I?","Venus","Mars","Uranus","Earth","Venus","Venus rains acid, but it evaporates before touching the ground!"
290,"I’m a tall rock that looks like a giant tower in Arizona! Who am I?","Mount Rushmore","Devil’s Tower","Grand Canyon","Monument Valley","Monument Valley","Many cowboy movies were filmed here!"
291,"I’m a natural waterfall between USA and Canada. Who am I?","Niagara Falls","Angel Falls","Victoria Falls","Iguazu Falls","Niagara Falls","More than 168,000 cubic meters of water fall every minute!"
292,"I’m the calmest planet with a sideways spin! Who am I?","Uranus","Neptune","Jupiter","Earth","Uranus","Uranus rotates on its side — it basically rolls around the Sun!"
293,"I’m full of trees, lakes, and bears — welcome to the wild! Who am I?","Yosemite","Yellowstone","Grand Canyon","Rocky Mountains","Yellowstone","Yellowstone has the world’s largest collection of geysers!"
294,"I’m an invisible force that keeps your feet on the ground. Who am I?","Magnetism","Gravity","Friction","Air Pressure","Gravity","Gravity is why your ice cream falls — not your fault!"
295,"I’m cold, round, and orbiting Saturn — one of its 83 moons! Who am I?","Titan","Io","Europa","Phobos","Titan","Titan has lakes of methane instead of water!"
296,"I’m a place where dreams come true and Mickey lives! Who am I?","Disneyland","Universal Studios","Times Square","Hollywood","Disneyland","Disneyland opened in 1955 and still feels magical every day!"
297,"I’m green, leafy, and taste great in salad! Who am I?","Spinach","Broccoli","Cabbage","Lettuce","Lettuce","Lettuce was first grown over 4,000 years ago in Egypt!"
298,"I’m full of glittering stars and mystery! Who am I?","Galaxy","Universe","Comet","Star Cluster","Galaxy","There are more galaxies in space than grains of sand on Earth!"
299,"I’m freezing, icy, and home to Santa Claus! Who am I?","South Pole","North Pole","Iceland","Alaska","North Pole","There’s no land at the North Pole — it’s all floating ice!"
300,"I’m the place where Hollywood stars shine bright! Who am I?","Las Vegas","Los Angeles","New York","San Francisco","Los Angeles","The Hollywood Sign was originally an ad for a housing project!"
301,"I’m bright, round, and disappear every morning. Who am I?","Moon","Star","Sun","Planet","Moon","The Moon hides during the day because the Sun’s light is too bright!"
303,"I’m cold, sparkly, and fall from the sky in winter. Who am I?","Rain","Snowflake","Ice Cube","Frost","Snowflake","No two snowflakes are ever exactly the same — each one’s a tiny masterpiece!"
304,"I make loud booms and light up the sky! Who am I?","Lightning","Volcano","Meteor","Fireworks","Lightning","A single lightning bolt can heat the air to 30,000°C — hotter than the Sun!"
305,"I’m made of ice, live in space, and have a glowing tail! Who am I?","Comet","Asteroid","Meteor","Moon","Comet","When comets get close to the Sun, their tails light up and stretch millions of kilometers!"
306,"I’m green, climb high, and monkeys love me! Who am I?","Vine","Tree","Cactus","Bamboo","Tree","Some trees can live for over 5,000 years — that’s older than the pyramids!"
307,"I roar with water and fall from great heights! Who am I?","Waterfall","River","Wave","Stream","Waterfall","Angel Falls in Venezuela is so tall, water turns to mist before reaching the ground!"
308,"I’m full of sand, waves, and sunbathers. Who am I?","Desert","Beach","Island","Lagoon","Beach","The world’s longest beach is over 150 miles long in Brazil!"
309,"I’m rocky, silent, and float in space. Who am I?","Asteroid","Planet","Star","Meteor","Asteroid","There are millions of asteroids orbiting the Sun between Mars and Jupiter!"
310,"I’m a place where cowboys rode and tumbleweeds roll. Who am I?","Texas","Arizona","California","Nevada","Texas","Texas is so big, you could fit 15 Indian states inside it!"
311,"I’m small, round, and orbit Earth faster than you can blink! Who am I?","Satellite","Moon","Meteor","Comet","Satellite","Satellites help you watch TV and use GPS — thank them next time you’re lost!"
312,"I’m full of lava and smoke — stay back or I’ll blow! Who am I?","Volcano","Mountain","Geyser","Canyon","Volcano","There are more than 1,500 active volcanoes on Earth right now!"
313,"I’m a river that’s longer than your summer vacation. Who am I?","Amazon","Nile","Ganga","Mississippi","Nile","The Nile River is over 6,600 km long — the longest in the world!"
314,"I’m full of stars but not a movie theater. Who am I?","Galaxy","Sky","Universe","Nebula","Galaxy","Our galaxy, the Milky Way, has over 100 billion stars!"
315,"I’m green, squishy, and grow on rocks. Who am I?","Moss","Grass","Algae","Lichen","Moss","Moss can even grow on bricks and old shoes — it’s unstoppable!"
316,"I’m invisible, but I can move leaves and fly kites. Who am I?","Air","Wind","Sound","Gravity","Wind","The fastest winds on Earth happen during hurricanes — over 300 km/h!"
317,"I’m so bright, astronauts wear sunglasses to see me. Who am I?","Star","Sun","Comet","Jupiter","Sun","It takes only 8 minutes for sunlight to reach Earth!"
318,"I’m a giant icy rock spinning beyond Neptune. Who am I?","Pluto","Eris","Ceres","Sedna","Pluto","Even though Pluto is tiny, it has five moons!"
319,"I’m a place where geysers explode and bison roam free. Who am I?","Yellowstone","Grand Canyon","Yosemite","Niagara Falls","Yellowstone","Yellowstone sits on a supervolcano that last erupted 640,000 years ago!"
320,"I’m a wide open grassy land full of animals. Who am I?","Savanna","Jungle","Desert","Swamp","Savanna","Africa’s savannas are home to lions, giraffes, and elephants!"
321,"I’m wet, cold, and sometimes white. Who am I?","Rain","Fog","Hail","Snow","Snow","Snow isn’t actually white — it’s clear ice that reflects light!"
322,"I’m full of sand dunes and no WiFi. Who am I?","Desert","Beach","Mountain","Forest","Desert","The Sahara Desert is almost as big as the USA!"
323,"I’m a spinning blue marble full of life. Who am I?","Earth","Neptune","Venus","Mars","Earth","Earth is the only planet not named after a god!"
324,"I’m a magical sky dance of colors. Who am I?","Rainbow","Aurora","Milky Way","Comet","Aurora","Auroras happen when solar winds meet Earth’s atmosphere!"
325,"I’m a huge chunk of ice floating in the ocean. Who am I?","Iceberg","Glacier","Snowball","Frost","Iceberg","About 90% of an iceberg stays hidden underwater!"
326,"I’m tall, strong, and full of wood. Who am I?","Tree","Mountain","Pole","Tower","Tree","The tallest tree in the world is a redwood named Hyperion!"
327,"I’m a space traveler without a return ticket. Who am I?","Astronaut","Comet","Satellite","Meteor","Meteor","Meteors are called ‘shooting stars,’ but they’re not stars at all!"
328,"I’m a place where the ground shakes and buildings dance! Who am I?","Earthquake","Volcano","Tornado","Flood","Earthquake","Japan has over 1,500 earthquakes every year!"
329,"I’m tall, icy, and king of the Arctic! Who am I?","Polar Bear","Penguin","Seal","Snow Leopard","Polar Bear","Polar bears have black skin under their white fur to soak up heat!"
330,"I’m round, hot, and the heart of our solar system. Who am I?","Sun","Jupiter","Venus","Mercury","Sun","The Sun contains 99.8% of all the mass in the solar system!"
331,"I’m salty, blue, and full of secrets. Who am I?","Sea","Lake","River","Pond","Sea","The Dead Sea is so salty you can float without swimming!"
332,"I’m a huge spinning ball of gas that lights up the night. Who am I?","Star","Planet","Comet","Satellite","Star","The nearest star to Earth (besides the Sun) is 4.24 light-years away!"
333,"I’m big, rocky, and covered in craters. Who am I?","Moon","Asteroid","Mars","Mercury","Moon","The Moon’s craters are from ancient asteroid impacts!"
334,"I’m a forest so big I make my own weather! Who am I?","Amazon Rainforest","Sahara","Everglades","Congo","Amazon Rainforest","The Amazon creates 20% of the world’s oxygen!"
335,"I’m covered in sand and mysterious pyramids. Who am I?","Egypt","India","Morocco","Iran","Egypt","The pyramids were once covered in shiny white limestone!"
336,"I’m full of hot water and bubble like a giant kettle! Who am I?","Geyser","Volcano","Hot Spring","River","Geyser","Old Faithful in Yellowstone erupts every 90 minutes!"
337,"I’m the red, dusty neighbor of Earth. Who am I?","Mars","Venus","Mercury","Pluto","Mars","Mars has the tallest volcano in the solar system — Olympus Mons!"
338,"I’m home to Big Ben and double-decker buses! Who am I?","London","Paris","Rome","New York","London","Big Ben isn’t the tower — it’s the bell inside it!"
339,"I’m a city where dreams are made and lights never sleep! Who am I?","New York","Las Vegas","Los Angeles","Miami","New York","Times Square was once called Longacre Square!"
340,"I’m so small, you could hold me in your hand, but I have rings too! Who am I?","Haumea","Chariklo","Ceres","Pluto","Chariklo","Chariklo is the smallest known object with rings in the solar system!"
341,"I’m the planet that rolls like a bowling ball! Who am I?","Uranus","Neptune","Saturn","Jupiter","Uranus","Uranus spins on its side at a 98-degree tilt!"
342,"I’m the driest place on Earth — barely any rain for centuries! Who am I?","Sahara","Atacama Desert","Thar Desert","Gobi Desert","Atacama Desert","Some parts of the Atacama haven’t seen rain for 500 years!"
343,"I’m a famous mountain where people climb to touch the sky! Who am I?","Everest","K2","Kilimanjaro","Fuji","Everest","Mount Everest grows about 4 millimeters taller every year!"
420,"I’m full of kangaroos and the Great Barrier Reef! Who am I?","India","Australia","South Africa","Brazil","Australia","There are more kangaroos than people in Australia!"
344,"I’m a river that cuts through the USA and loves country songs! Who am I?","Mississippi","Amazon","Colorado","Hudson","Mississippi","The Mississippi River is so long it flows through 10 U.S. states!"
345,"I’m a magical seven-colored curve after the rain. Who am I?","Aurora","Rainbow","Galaxy","Comet","Rainbow","You can’t ever reach a rainbow — it moves as you move!"
346,"I’m made of billions of stars and look like spilled milk. Who am I?","Milky Way","Andromeda","Orion","Big Dipper","Milky Way","The name ‘Milky Way’ comes from ancient Greek mythology!"
347,"I’m an underwater mountain that can explode! Who am I?","Volcano","Reef","Trench","Island","Volcano","Underwater volcanoes create new islands when they erupt!"
348,"I’m a mysterious black hole’s hungry neighbor! Who am I?","Star","Planet","Comet","Galaxy","Star","Black holes can ‘eat’ stars that come too close!"
349,"I’m a windy place where tornados love to dance. Who am I?","Kansas","Texas","Oklahoma","Nebraska","Kansas","Kansas is part of Tornado Alley — where the wildest twisters happen!"
350,"I’m a tower in France that loves taking selfies with tourists! Who am I?","Eiffel Tower","Leaning Tower of Pisa","Big Ben","Statue of Liberty","Eiffel Tower","The Eiffel Tower grows taller in summer because metal expands in heat!"
351,"I’m a big green lady holding a torch and welcoming everyone to America! Who am I?","Statue of Liberty","Venus de Milo","Moana","Wonder Woman","Statue of Liberty","The Statue of Liberty’s full name is ‘Liberty Enlightening the World’!"
352,"I’m a city that never sleeps and loves bright lights. Who am I?","New York","Los Angeles","Las Vegas","Chicago","New York","New York’s Times Square was once called Longacre Square!"
353,"I’m a city in Italy famous for floating on water! Who am I?","Venice","Rome","Florence","Naples","Venice","Venice has over 400 bridges and 150 canals!"
354,"I’m a huge wall you can see from space (almost!). Who am I?","The Great Wall of China","Berlin Wall","Hadrian’s Wall","Wall Street","The Great Wall of China","The Great Wall is over 13,000 miles long — that’s half the Earth’s circumference!"
355,"I’m a giant clock in London who loves to stay on time! Who am I?","Big Ben","London Eye","Tower Bridge","Buckingham Palace","Big Ben","‘Big Ben’ is actually the name of the bell, not the tower!"
356,"I’m a cold place where penguins dance! Who am I?","Antarctica","Alaska","Iceland","Greenland","Antarctica","Antarctica is the driest, windiest, and coldest continent on Earth!"
357,"I’m a desert that’s so big, it looks like a giant beach with no sea! Who am I?","Sahara Desert","Gobi Desert","Kalahari Desert","Arabian Desert","Sahara Desert","The Sahara is almost the same size as the entire United States!"
358,"I’m a triangle-shaped wonder in Egypt! Who am I?","Pyramids of Giza","Taj Mahal","Eiffel Tower","Machu Picchu","Pyramids of Giza","The Great Pyramid was the tallest man-made structure for over 3,800 years!"
359,"I’m a city in Japan that glows with neon and sushi! Who am I?","Tokyo","Kyoto","Osaka","Hiroshima","Tokyo","Tokyo has more Michelin-starred restaurants than any other city!"
360,"I’m a giant rock that turns red at sunset in Australia! Who am I?","Uluru","Sydney Rock","Ayers Cliff","Mount Cook","Uluru","Uluru changes color throughout the day depending on sunlight!"
361,"I’m a city with a big red bridge and lots of fog! Who am I?","San Francisco","Seattle","Boston","Miami","San Francisco","The Golden Gate Bridge isn’t golden — it’s actually orange-red!"
362,"I’m a famous waterfall that loves making rainbows! Who am I?","Niagara Falls","Victoria Falls","Angel Falls","Iguazu Falls","Niagara Falls","Over 3,000 tons of water flows over Niagara Falls every second!"
363,"I’m a Brazilian city where everyone loves to dance samba! Who am I?","Rio de Janeiro","São Paulo","Brasília","Salvador","Rio de Janeiro","Rio’s Christ the Redeemer statue is 98 feet tall!"
364,"I’m a magical city in India with a white marble wonder. Who am I?","Agra","Delhi","Jaipur","Varanasi","Agra","The Taj Mahal in Agra was built by Shah Jahan for his beloved wife Mumtaz!"
365,"I’m a country famous for maple syrup and polite people! Who am I?","Canada","USA","Norway","Sweden","Canada","Canadians produce over 70% of the world’s maple syrup!"
366,"I’m a land full of kangaroos and koalas! Who am I?","Australia","New Zealand","South Africa","Indonesia","Australia","Australia has more kangaroos than humans!"
367,"I’m a famous landmark in Italy that’s always leaning! Who am I?","Leaning Tower of Pisa","Colosseum","Duomo","Pantheon","Leaning Tower of Pisa","The Leaning Tower tilts because it was built on soft ground!"
368,"I’m a city in India known as the ‘Pink City’. Who am I?","Jaipur","Delhi","Mumbai","Kolkata","Jaipur","Jaipur’s buildings were painted pink to welcome the Prince of Wales in 1876!"
369,"I’m a place with a castle in the sky — Scotland loves me! Who am I?","Edinburgh","London","Dublin","Cardiff","Edinburgh","Edinburgh Castle sits on top of an extinct volcano!"
370,"I’m the hottest place on Earth — don’t bring your ice cream here! Who am I?","Death Valley","Sahara","Thar Desert","Namib Desert","Death Valley","Death Valley once reached 56.7°C — that’s hotter than an oven!"
371,"I’m a magical kingdom where Mickey Mouse rules! Who am I?","Disney World","Universal Studios","Wonderland","Lego Land","Disney World","Disney World is so big, it’s almost the size of San Francisco!"
372,"I’m the tallest mountain in the world — I touch the sky! Who am I?","Mount Everest","K2","Mount Fuji","Kangchenjunga","Mount Everest","Mount Everest grows about 4 millimeters taller every year!"
373,"I’m a city where dreams are made and movies are filmed! Who am I?","Los Angeles","New York","Las Vegas","Miami","Los Angeles","Hollywood’s iconic sign originally said ‘Hollywoodland’!"
374,"I’m a city that shines with casinos and neon lights all night long! Who am I?","Las Vegas","Miami","Los Angeles","Orlando","Las Vegas","Las Vegas means ‘The Meadows’ in Spanish — ironic for a desert city!"
375,"I’m a big rock with four giant faces on me! Who am I?","Mount Rushmore","Grand Canyon","Uluru","Table Mountain","Mount Rushmore","Mount Rushmore took 14 years to carve and has faces of 4 U.S. Presidents!"
376,"I’m a city where the water flows red — because of lights! Who am I?","Amsterdam","Venice","Copenhagen","Paris","Amsterdam","Amsterdam has more canals than Venice!"
377,"I’m a frozen land where Santa Claus lives! Who am I?","North Pole","Greenland","Iceland","Finland","North Pole","The North Pole has no land — it’s all floating ice!"
378,"I’m a country shaped like a boot — stylish, huh? Who am I?","Italy","Spain","France","Portugal","Italy","Italy looks like a high-heeled boot kicking Sicily!"
379,"I’m a city full of windmills and tulips! Who am I?","Amsterdam","Brussels","Zurich","Oslo","Amsterdam","The Netherlands has more bikes than people!"
380,"I’m a big canyon that looks like Earth’s mouth is open! Who am I?","Grand Canyon","Yellowstone","Rocky Mountains","Yosemite","Grand Canyon","The Grand Canyon is over 277 miles long and visible from space!"
421,"I’m famous for pizza, pasta, and leaning towers! Who am I?","Spain","Italy","France","Greece","Italy","The Leaning Tower of Pisa has leaned for over 800 years!"
381,"I’m a beautiful waterfall taller than 3 skyscrapers! Who am I?","Angel Falls","Niagara Falls","Victoria Falls","Iguazu Falls","Angel Falls","Angel Falls is the world’s tallest waterfall — 979 meters high!"
382,"I’m the coldest country where reindeer run freely! Who am I?","Finland","Russia","Sweden","Iceland","Finland","Finland has more saunas than cars!"
383,"I’m a city where people talk in the British accent and drink lots of tea! Who am I?","London","Manchester","Liverpool","Birmingham","London","London was once called ‘Londinium’ by the Romans!"
384,"I’m a city with a giant eye that spins slowly! Who am I?","London","Dubai","Singapore","New York","London","The London Eye can carry over 800 passengers at once!"
385,"I’m a country famous for pyramids and mummies! Who am I?","Egypt","Morocco","Sudan","Ethiopia","Egypt","Ancient Egyptians invented toothpaste and paper!"
386,"I’m a jungle where the loudest animals live! Who am I?","Amazon Rainforest","Congo Forest","Everglades","Black Forest","Amazon Rainforest","The Amazon produces 20% of the world’s oxygen!"
387,"I’m a land where dragons are only made of paper! Who am I?","China","Japan","Korea","Thailand","China","China invented fireworks, paper, and noodles!"
388,"I’m a place where kangaroos hop on the beach! Who am I?","Australia","New Zealand","South Africa","Indonesia","Australia","There are more kangaroos than people in Australia!"
389,"I’m a city full of romance and croissants! Who am I?","Paris","Rome","Milan","Madrid","Paris","Paris is nicknamed ‘The City of Light’ because it was one of the first cities with streetlights!"
390,"I’m a big island full of volcanoes and surfers! Who am I?","Hawaii","Bali","Fiji","Maldives","Hawaii","Hawaii’s beaches have white, black, red, and even green sand!"
391,"I’m the place where the world’s tallest building lives! Who am I?","Dubai","Doha","Abu Dhabi","Riyadh","Dubai","Dubai’s Burj Khalifa is so tall, you can watch the sunset twice — once from the ground and again from the top!"
392,"I’m a magical city made of ice every winter! Who am I?","Harbin","Oslo","Moscow","Reykjavik","Harbin","Harbin, China, hosts the world’s largest ice sculpture festival!"
393,"I’m a rainforest where parrots gossip all day! Who am I?","Amazon","Congo","Sumatra","Borneo","Amazon","The Amazon is home to over 2.5 million insect species!"
394,"I’m a giant salt flat that looks like a mirror! Who am I?","Salar de Uyuni","Death Valley","Mojave Desert","Atacama Desert","Salar de Uyuni","Salar de Uyuni in Bolivia reflects the sky perfectly after it rains!"
395,"I’m a country where people wear kilts and play bagpipes! Who am I?","Scotland","Ireland","Wales","England","Scotland","Scotland has over 400 words for ‘snow’!"
396,"I’m a city built in the desert but love luxury! Who am I?","Dubai","Las Vegas","Riyadh","Doha","Dubai","Dubai’s police cars include Lamborghinis and Ferraris!"
397,"I’m a place where bears sleep all winter! Who am I?","Alaska","Russia","Canada","Norway","Alaska","Alaska has more volcanoes than any other U.S. state!"
398,"I’m a giant crater where aliens would love to land! Who am I?","Meteor Crater","Grand Canyon","Death Valley","Mount Etna","Meteor Crater","Meteor Crater in Arizona was made by a rock the size of a house!"
399,"I’m a hidden city built high in the Andes Mountains! Who am I?","Machu Picchu","Petra","Tikal","Cusco","Machu Picchu","Machu Picchu was rediscovered only 100 years ago!"
400,"I’m a glowing place filled with neon and sushi rolls! Who am I?","Tokyo","Seoul","Bangkok","Hong Kong","Tokyo","Tokyo’s train stations serve over 40 million people every day!"
401,"I’m a wonder of the world made of stone faces smiling at you! Who am I?","Angkor Wat","Petra","Stonehenge","Chichen Itza","Angkor Wat","Angkor Wat in Cambodia is the largest religious monument in the world!"
402,"I’m a wall built to keep out dragons — or maybe tourists! Who am I?","Great Wall of China","Berlin Wall","Hadrian’s Wall","Stone Wall","Great Wall of China","The Great Wall wasn’t built all at once — it took over 2,000 years!"
403,"I’m a place where lights dance in the sky! Who am I?","Northern Lights","Milky Way","Rainbow Falls","Sky Dome","Northern Lights","The Northern Lights happen when solar particles hit Earth’s atmosphere!"
404,"I’m a city that’s home to the Colosseum and pizza! Who am I?","Rome","Venice","Naples","Florence","Rome","The Colosseum could hold over 50,000 spectators in ancient times!"
405,"I’m a city where music never stops — and neither do the parties! Who am I?","New Orleans","Chicago","Austin","Nashville","New Orleans","New Orleans is the birthplace of jazz!"
406,"I’m a frozen island where geysers and volcanoes live together! Who am I?","Iceland","Greenland","Norway","Finland","Iceland","Iceland gets almost all of its energy from renewable sources!"
407,"I’m a rocky circle where people once danced with stones! Who am I?","Stonehenge","Machu Picchu","Easter Island","Chichen Itza","Stonehenge","No one knows exactly why Stonehenge was built — it’s still a mystery!"
408,"I’m a city that floats above the clouds — in Nepal! Who am I?","Kathmandu","Lhasa","Pokhara","Thimphu","Kathmandu","Kathmandu means ‘Wooden Temple’ in Sanskrit!"
409,"I’m an island full of moai statues watching the ocean! Who am I?","Easter Island","Hawaii","Galápagos Islands","Bora Bora","Easter Island","The giant stone heads on Easter Island have bodies buried underground!"
410,"I’m a palace in India that glows at night like a pearl! Who am I?","Taj Mahal","Amber Fort","Mysore Palace","Red Fort","Taj Mahal","The Taj Mahal changes color depending on the time of day!"
411,"I’m a city famous for spicy food and jazz music! Who am I?","New Orleans","Austin","Memphis","Atlanta","New Orleans","The first-ever jazz song was recorded in New Orleans in 1917!"
412,"I’m a tall statue of a man thinking deeply — maybe about snacks! Who am I?","The Thinker","David","Christ the Redeemer","Lincoln Memorial","The Thinker","‘The Thinker’ was originally part of a much larger artwork called ‘The Gates of Hell’!"
413,"I’m the city where pyramids meet skyscrapers! Who am I?","Cairo","Dubai","Doha","Riyadh","Cairo","Cairo’s name means ‘The Victorious City’!"
414,"I’m a beach where people surf and say ‘Aloha!’ Who am I?","Waikiki Beach","Bondi Beach","Copacabana","Miami Beach","Waikiki Beach","Surfing was invented in Hawaii centuries ago!"
415,"I’m a city of canals where people travel in boats called gondolas! Who am I?","Venice","Amsterdam","Bruges","Copenhagen","Venice","Venice is sinking about 1–2 millimeters each year!"
416,"I’m a city built in sand but full of gold! Who am I?","Dubai","Doha","Abu Dhabi","Muscat","Dubai","Dubai’s indoor ski resort has real snow — in the desert!"
