"id","fact","image","question","option_a","option_b","option_c","option_d","correct_option"
120,"🚀 Fact: Most big inventions — from electricity to the internet — came from arguments! Friction between minds creates fire.","🧠⚡🧠 = ?","I’m born when minds collide, not when they agree.","A) Debate","B) Innovation","C) Conflict","D) Idea","B"
121,"🕰️ Fact: Experience is life’s best teacher — it humbles the proud and raises the fallen. You can’t skip it, only live it.","📖👑 = ?","I can make kings kneel and fools wise.","A) Knowledge","B) Book","C) Time","D) Experience","D"
122,"🌀 Fact: Illusions fool your brain by bending light. Your mind fills the gaps — so what you ‘see’ isn’t always real.","☀️🎭 = ?","I’m the shadow of truth that wears light’s mask.","A) Illusion","B) Mirror","C) Reflection","D) Reality","A"
123,"💭 Fact: Every skyscraper, movie, or invention was once a dream. Vision turns imagination into reality — that’s human superpower!","🌙🏗️ = ?","I exist in dreams but build real worlds.","A) Idea","B) Vision","C) Imagination","D) Belief","B"
124,"🌈 Fact: A rainbow is not real — it’s pure light illusion! 🌦️ It appears only when sunlight bends through raindrops, and no two people see the same one.","🌧️☀️🌈 = ?","I fall without fear, shine without fire, and vanish without noise.","A) Dew","B) Rainbow","C) Mist","D) Light","B"
125,"🔐 Fact: The world’s most used password is still ‘123456’. Crazy, right? 😅 A strong password is the simplest armor in the digital world.","📱🔓🌍 = ?","I open worlds with no key, yet people guard me like treasure.","A) Phone","B) Password","C) Internet","D) Brain","B"
126,"⏳ Fact: A clock’s hands never stop — they symbolize endless time. Even when broken, it’s right twice a day! ⏰","⏰🏃‍♂️ = ?","I have hands but can’t hug, and I run without legs.","A) Clock","B) Watch","C) Time","D) Alarm","A"
127,"☁️ Fact: Clouds are just floating oceans — a single cloud can weigh millions of kilograms! ☁️🌊","☁️💧 = ?","I can fly without wings, and cry without eyes.","A) Cloud","B) Sky","C) Rain","D) Storm","A"
128,"🎭 Fact: Masks are thousands of years old — from ancient Greek theatres to superhero movies, they’ve always told untold stories.","🎭🤫 = ?","I wear a face but no eyes, a mouth but no voice.","A) Mask","B) Robot","C) Statue","D) Shadow","A"
129,"⛄ Fact: A snowman survives only because of cold. It’s nature’s reminder that not everything born in beauty can last forever ❄️.","🕯️🔥❄️ = ?","I’m born from fire but melt in warmth.","A) Wax","B) Candle","C) Ice","D) Snowman","D"
130,"📸 Fact: Every selfie is actually a reflection captured forever — light bouncing back through sensors, freezing a second in time.","📱🪞👀 = ?","I hide in glass but never break it.","A) Reflection","B) Camera","C) Screen","D) Shadow","B"
131,"🌕 Fact: The Moon pulls Earth’s oceans with its gravity, causing tides! 🌊 Even from 3.8 lakh km away, it moves entire seas.","🌕🌊 = ?","I move oceans without touching them.","A) Gravity","B) Moon","C) Wind","D) Storm","B"
132,"☀️ Fact: The Sun’s light reaches Earth in just 8 minutes — that’s 150 million km away! It’s pure cosmic speed. ☄️","☀️😎🔥 = ?","I can burn you without fire and blind you without light.","A) Heat","B) Light","C) Sun","D) Reflection","C"
133,"🪄 Fact: Magic isn’t in the trick — it’s in your brain! 🎩 Our brains *want* to believe what we see, that’s why illusions fool us.","🧚✨ = ?","I disappear when you stop believing.","A) Magic","B) Dream","C) Hope","D) Wish","A"
134,"📝 Fact: Words are sharper than swords — one sentence can build or break a life. The pen truly rules the world. ✍️","✏️🤫📖 = ?","I’m sharp but never cut, and silent but always heard.","A) Pen","B) Pencil","C) Word","D) Thought","C"
135,"📷 Fact: A photo freezes only one frame of truth — not what really was. 📸 Memories are feelings; pictures are pixels.","📸🪞👁️ = ?","I can show you truth but not reality.","A) Camera","B) Mirror","C) Photo","D) Reflection","C"
136,"🧠 Fact: Thoughts move faster than speech — your brain forms them before you realize. Silence is just sound you haven’t spoken yet.","😶‍🌫️💭 = ?","I’m the quietest scream and the loudest silence.","A) Thought","B) Emotion","C) Memory","D) Fear","A"
137,"🖱️ Fact: The first computer mouse was made of wood! 🪵 It literally changed the way humans interact with machines.","🖱️🌍⚡ = ?","I’m tiny but can change your world with one click.","A) Mouse","B) Button","C) App","D) Link","A"
138,"🌕 Fact: The Moon shines only by borrowing sunlight — it’s a cosmic mirror. 🌙 That’s why it changes shape every night.","🌧️🌕 = ?","I cry silver tears and light your way.","A) Stars","B) Moon","C) Night","D) River","B"
139,"🤖 Fact: AI doesn’t dream — but it learns while you sleep! Machines are becoming artists without ever feeling emotion.","💻🌙 = ?","I never sleep, yet I dream for others.","A) Internet","B) Server","C) AI","D) Robot","C"
140,"🖤 Fact: A chalkboard works by friction — the chalk leaves dust that reflects light. The cleaner it is, the darker it looks!","🪶🧽 = ?","I’m black when clean, white when dirty.","A) Blackboard","B) Chalk","C) Paper","D) Mirror","A"
141,"🌍 Fact: The Internet is like a global brain — over 4 billion ‘neurons’ (humans) connected by invisible data roots! 🌐","📡🌐 = ?","I have roots but no soil, veins but no blood.","A) Internet","B) Tree","C) Network","D) Web","C"
142,"📷 Fact: Cameras literally freeze photons — particles of light — into still art. Each click captures a time that will never return.","📸👁️ = ?","I can stop time with just one blink.","A) Camera","B) Eye","C) Memory","D) Snapshot","A"
143,"🎶 Fact: Music activates more brain areas than any other activity! That’s why one song can bring back your childhood in seconds.","🎵🧠❤️ = ?","I live in your head but rent space in your heart.","A) Memory","B) Song","C) Thought","D) Emotion","B"
144,"🌌 Fact: Life itself is an unanswered question — even science admits we don’t know *why* we exist, only *how* we do.","❓♾️ = ?","I’m a question that no answer can finish.","A) Life","B) Mystery","C) Love","D) Universe","A"
145,"🗣️ Fact: Words connect or divide nations. The right one can end a war, the wrong one can start it. 💣💬","💬🌉 = ?","I build walls with no bricks and bridges with no roads.","A) Words","B) Friendship","C) Communication","D) Thought","A"
146,"💔 Fact: People smile even when they’re breaking inside — the brain releases dopamine to fake calmness. 😐 It’s emotional armor.","🙂🤫❤️ = ?","I hide behind smiles and live in silence.","A) Pain","B) Love","C) Secret","D) Fear","A"
147,"🏛️ Fact: Architecture is frozen music — every structure starts as imagination and ends as geometry. 🎶🏰","🏗️💭 = ?","I’m made from dreams but built by hands.","A) Invention","B) Creation","C) Art","D) Architecture","D"
148,"📸 Fact: Cameras ‘see’ through light only — in darkness, they are blind. That’s why flash exists: artificial sunlight in your pocket.","📷💡 = ?","I chase light but disappear in darkness.","A) Shadow","B) Camera","C) Reflection","D) Photo","B"
149,"🔥 Fun Fact: Fire isn’t a thing — it’s a reaction! It’s literally atoms dancing in heat and light. 💃🔥","🔥💧❌ = ?","I’m born from heat but afraid of water. Touch me and I disappear!","A) Smoke","B) Fire","C) Steam","D) Shadow","B"
150,"📲 Fact: Face ID scans over 30,000 invisible dots to unlock your phone. High-tech magic! 🧠✨","📱🔒😊 = ?","I guard your secrets but open with a smile.","A) Password","B) Phone","C) Face ID","D) Diary","C"
151,"🛰️ Fun Fact: Satellites orbit Earth 22,000 miles up — sending your WhatsApp messages in milliseconds! 🚀","🌍📞 = ?","I can talk to anyone, anywhere, but never move from my place.","A) Tower","B) Internet","C) Telephone","D) Satellite","D"
152,"📺 Fun Fact: The average child watches over 15,000 hours of TV before age 18! 😅","⚡📺🍿 = ?","I eat electricity but feed you stories.","A) Mobile","B) TV","C) Laptop","D) Projector","B"
153,"📱 Fact: A smartphone today is more powerful than the computer NASA used to send humans to the moon! 🌕🚀","🌍🤲📱 = ?","I live in your hand but know the whole world.","A) Smartphone","B) Globe","C) Map","D) Brain","A"
154,"💡 Fact: Wikipedia has over 60 million pages — written by people, not robots! 🤯","📖💻 = ?","I have millions of pages but no paper.","A) Internet","B) E-book","C) Wikipedia","D) Library","C"
155,"🧅 Fun Fact: Onions release a gas that makes your eyes produce tears. It’s science crying! 🧪😂","😭🔪🧅 = ?","I cry when you cut me but I never complain.","A) Tomato","B) Onion","C) Garlic","D) Soap","B"
156,"🍦 Fact: Ice cream was once a royal dessert — only kings could afford it 400 years ago! 👑🍨","🍦🥶🔥 = ?","I stay cold but make everyone hot for me.","A) Ice Cream","B) AC","C) Ice Cube","D) Refrigerator","A"
157,"🔥 Fun Fact: Fire is the only element that can move upward — it literally climbs! 🔥⬆️","🔥🪵💨 = ?","I’m not alive, but I grow. I don’t have lungs, but I need air.","A) Candle Flame","B) Fire","C) Balloon","D) Plant","B"
158,"📹 Fact: There are over 1 billion CCTV cameras in the world — someone’s always watching! 👀","📹🏠👁️ = ?","I can see you but have no eyes — I’m in your wall, not in disguise.","A) Window","B) CCTV Camera","C) Mirror","D) Doorbell","B"
159,"💎 Fun Fact: Gorilla Glass can survive a drop from 1.5 meters — tougher than it looks! 🦍📱","📱🪟💪 = ?","I’m made of glass but stronger than steel.","A) Window","B) Gorilla Glass","C) Shield","D) Mirror","B"
160,"🌟 Fun Fact: The oldest horoscope ever found is from 410 BC — even stars had fans! ✨","🪄📜 = ?","I have no hands but can write your future.","A) Pen","B) Horoscope","C) Destiny","D) Time","B"
161,"🧠 Fact: Your subconscious keeps working even when you sleep — that’s why ideas come at night! 🌌","🌙💭👷 = ?","I work only when you sleep.","A) Dream","B) Brain","C) Subconscious","D) Memory","C"
162,"🗺️ Fact: Modern GPS maps can zoom from galaxies to your doorstep — real-world magic! 🌍✨","🏔️📱🤏 = ?","I can hold a mountain but fit in your pocket.","A) Phone","B) Map App","C) Calculator","D) Game","B"
163,"💡 Fact: Confidence is like glass — one crack and it takes time to rebuild. 🪞💪","💔⬇️❌ = ?","I break before I fall, but I’m not made of glass.","A) Trust","B) Heart","C) Promise","D) Confidence","D"
164,"🕒 Fun Fact: Every second, millions of clocks tick together — the world runs on rhythm! ⏳","⏰🏃 = ?","I have a face, but no eyes; I run, but never walk.","A) Watch","B) Clock","C) Compass","D) Timer","B"
165,"💡 Fact: Nightlights were invented to help kids afraid of darkness — a glow of comfort! 🌜💤","💡🌙🛌 = ?","I never sleep, but I help you rest.","A) Lamp","B) Fan","C) Nightlight","D) Dream","C"
166,"👾 Fun Fact: Games like Minecraft or Fortnite generate billions in creativity — fear + fun combo! 🎮🔥","🎮👾😱 = ?","I have no mouth but can make you scream!","A) Horror Game","B) Ghost","C) Headphones","D) Movie","A"
167,"☀️ Fact: The Sun doesn’t rise or set — it’s Earth spinning! 🌍💫","🌅🌄🌙 = ?","I die every night and am reborn every morning.","A) Sun","B) Shadow","C) Light","D) Dream","A"
168,"📷 Fact: A photo captures 1/1000th of a second — freezing time forever! ⏳✨","📸🕰️✋ = ?","I can stop time without touching it.","A) Photo","B) Memory","C) Freeze","D) Pause Button","A"
169,"🪑 Fun Fact: The chair was once considered a throne — only kings could sit on one! 👑🪑","🪑🦵🤗❌ = ?","I have arms but can’t hug, legs but can’t walk.","A) Robot","B) Chair","C) Doll","D) Table","B"
170,"♟️ Fact: Chess has more possible moves than atoms in the universe! 🤯","♟️🚶‍♂️📜 = ?","I follow rules but make my own path.","A) Chess Piece","B) Student","C) Artist","D) Leader","A"
171,"💾 Fact: One modern SSD can store more data than an entire library from the 1900s! 📚💽","💾🌊🖥️ = ?","I can store oceans but fit on your desk.","A) Cloud","B) Hard Drive","C) USB","D) Internet","B"
172,"💭 Fun Fact: Every invention ever started as a single thought — ideas rule the world! 🌍💥","🧠💡✍️ = ?","I can erase mountains, build bridges, and change lives — all without sound.","A) Idea","B) Dream","C) Knowledge","D) Plan","A"
173,"📘 Fact: Reading one book can take you more places than a plane ever can. 🚀📖","📚🌍🦶❌ = ?","I’m a traveler with no legs, a teacher with no voice.","A) Book","B) Wind","C) Cloud","D) Internet","A"
174,"💭 Fact: Studies show smiling can hide sadness — even scientists call it the ‘mask of emotions’. 🎭","😂🤫 = ?","I hide behind your laughter and live in your silence.","A) Thought","B) Pain","C) Secret","D) Dream","B"
175,"📖 Fact: Stories are humanity’s oldest way of keeping people alive — long after they’re gone. 🌌","🕰️🧠💔 = ?","I die when you forget me, but live forever in memories.","A) Time","B) Love","C) Memory","D) Story","D"
176,"🌬️ Fact: Wind is actually moving air caused by pressure changes — invisible yet unstoppable! 💨🔥","💨😭🕊️ = ?","I can fly without wings and cry without eyes.","A) Cloud","B) Dream","C) Wind","D) Music","C"
177,"📷 Fact: The first photo ever took 8 hours to capture — imagine that selfie struggle! 😅📸","📸👀❌ = ?","I hold thousands of faces but never blink.","A) Mirror","B) Camera","C) Album","D) Memory","B"
178,"📡 Fact: Wi-Fi waves travel through walls and air — but not your mom’s anger when it’s slow! 😂","🌊✈️💨 = ?","I can cross oceans, yet I’m lighter than air.","A) Bird","B) Cloud","C) Sound","D) Wi-Fi","D"
179,"💘 Fact: Love triggers the same brain region as pain — that’s why heartbreak literally hurts. 💔🧠","❤️🔥❄️ = ?","I can burn without fire and freeze without ice.","A) Emotion","B) Heart","C) Anger","D) Love","D"
180,"🌍 Fact: Every choice is a puzzle piece of your life — it fits when you look back. 🧩💫","🧩🧠 = ?","I’m seen in pieces but only understood whole.","A) Puzzle","B) Mind","C) Story","D) Life","D"
181,"💡 Fact: Your brain creates new ideas by combining unrelated memories — creativity is remixing! 🎨🧠","🌑✨ = ?","I am born in darkness but shine in the light.","A) Star","B) Idea","C) Hope","D) Firefly","B"
182,"💭 Fact: Imagination activates 70% of your brain — even more than real experiences! 🧠💫","🤫🎶 = ?","I can scream in silence and sing in stillness.","A) Thought","B) Dream","C) Memory","D) Imagination","D"
183,"💧 Fact: Water exists as liquid, solid, and gas — the ultimate shape-shifter! 🌊❄️☁️","🌊🔁 = ?","I change shapes but never lose myself.","A) Water","B) Shadow","C) Air","D) Smoke","A"
184,"☀️ Fact: Light has all colors inside — white light splits into a rainbow. 🌈💡","🌈⚪🎨 = ?","I have no color but paint the world.","A) Light","B) Imagination","C) Emotion","D) Time","A"
185,"🌎 Fact: The internet connects over 5 billion people — it’s the digital heartbeat of Earth! 💻❤️","💞🌐 = ?","I connect hearts faster than any road.","A) Internet","B) Friendship","C) Love","D) Call","A"
186,"🤫 Fact: There’s no sound in outer space — true silence only exists beyond Earth! 🌌🚀","🤐❓ = ?","I disappear the moment you name me.","A) Secret","B) Silence","C) Shadow","D) Memory","B"
187,"🫶 Fact: The word ‘promise’ comes from Latin ‘promittere’ — meaning ‘to send forward’. 💌","🤝🔐 = ?","I can be broken, spoken, or kept forever.","A) Secret","B) Trust","C) Promise","D) Heart","C"
188,"⚡ Fact: The light we see from stars today actually left millions of years ago — a time traveler! 🚀✨","⏳🌌 = ?","I’m older than time but found in every second.","A) Universe","B) Light","C) Energy","D) Truth","B"
189,"🌧️ Fact: A raindrop can fall at speeds up to 32 km/h — tiny missiles of freshness! 💧⚡","🌧️🌞 = ?","I fall without moving and rise without legs.","A) Shadow","B) Rain","C) Sunlight","D) Temperature","B"
190,"💘 Fact: The human heart can sense emotional signals from others — real emotional Wi-Fi! 🌐❤️","💞🌍🕸️ = ?","I’m invisible, yet I connect every heartbeat on Earth.","A) Internet","B) Emotion","C) Energy","D) Love","D"
191,"🌬️ Fact: Over time, strong winds can literally erode mountains — slow but mighty. 💪💨","💨🏔️💥 = ?","I can break mountains, yet I’m made of nothing.","A) Wind","B) Sound","C) Time","D) Echo","A"
192,"🧠 Fact: Your brain makes 70,000 thoughts a day — more traffic than Mumbai streets! 🚗💭","🧠💭 = ?","I’m alive without life, moving without motion.","A) Thought","B) Shadow","C) Dream","D) Spirit","A"
193,"📻 Fact: Radio waves travel at light speed — the oldest social network ever made! 🌐🎙️","📡🗣️📞 = ?","I carry voices from miles away but never speak myself.","A) Signal","B) Radio","C) Telephone","D) Satellite","B"
194,"📖 Fact: Reading rewires your brain — it literally makes you smarter over time! 🧠⚡","📚💪 = ?","I have no bones, yet I make spines strong.","A) Book","B) Motivation","C) Knowledge","D) Truth","A"
195,"🌟 Fact: Every culture has a word for ‘soul’ — even before religion existed! 🌍✨","❤️👁️ = ?","I’m felt, not touched. I’m seen, not visible.","A) Love","B) Emotion","C) Soul","D) Thought","C"
196,"💬 Fact: A single speech has changed history — words build or burn worlds. 🔥🕊️","🕊️💣🗣️ = ?","I can stop wars or start them — depends on how I’m used.","A) Power","B) Words","C) Peace","D) Voice","B"
197,"💡 Fact: When you sleep, your brain shuts out light to reset your internal clock. ⏰💤","🌙😴📴 = ?","I die every time you close your eyes.","A) Screen","B) Day","C) Reality","D) Light","D"
198,"⌛ Fact: The future never arrives — it always stays just one second ahead! ⏳🚀","🕰️➡️🪞 = ?","I’m always ahead but never move an inch.","A) Future","B) Reflection","C) Shadow","D) Thought","A"
